month,day_type,hour,shape
10,1,0,1.1350771475187678
10,1,1,1.0607974667152082
10,1,2,0.988427686375433
10,1,3,0.966909263172308
10,1,4,0.9395102797486604
10,1,5,1.0073917672230457
10,1,6,1.129260816726657
10,1,7,0.9918678346434667
10,1,8,1.0152400576808058
10,1,9,0.9278945904444333
10,1,10,0.7735834405515873
10,1,11,0.6908413293897457
10,1,12,0.39697629564911124
10,1,13,0.622907049893439
10,1,14,0.7182973721991341
10,1,15,0.7854300869366393
10,1,16,1.0779550010437293
10,1,17,1.2137112013572422
10,1,18,1.2450951646084134
10,1,19,1.2432294597982678
10,1,20,1.232367494692254
10,1,21,1.2086511684156795
10,1,22,1.1070816928399236
10,1,23,0.9929514604059062
10,2,0,1.1190112011422468
10,2,1,1.0445623005402969
10,2,2,0.9633681207742057
10,2,3,0.9660026164313441
10,2,4,0.9630253478006396
10,2,5,0.9817983859360855
10,2,6,1.096008511874944
10,2,7,0.9123525510832449
10,2,8,0.6656749161471998
10,2,9,0.4326391792162094
10,2,10,0.2962638645225513
10,2,11,0.24731978777227873
10,2,12,0.1510596839878222
10,2,13,0.29860393270786556
10,2,14,0.40132208245013884
10,2,15,0.5235834839260889
10,2,16,0.9506192810328761
10,2,17,1.163246142258312
10,2,18,1.2357583848256644
10,2,19,1.239718463961924
10,2,20,1.2234140229158919
10,2,21,1.2002574463580495
10,2,22,1.0458194288902
10,2,23,0.9813387982614499
11,0,0,1.0693489704468058
11,0,1,0.9895148519870611
11,0,2,0.8782605182255294
11,0,3,0.8375905733408573
11,0,4,0.8315477859765646
11,0,5,0.8820926926545829
11,0,6,1.0628343513507605
11,0,7,1.1216668147135718
11,0,8,1.2188404108898017
11,0,9,1.160863245052286
11,0,10,1.0074663721833708
11,0,11,0.9630592270687391
11,0,12,0.6044326341270452
11,0,13,0.8145648357276718
11,0,14,1.0135533744209242
11,0,15,1.0691737908658194
11,0,16,1.208259111208328
11,0,17,1.233641351577812
11,0,18,1.2289242027951208
11,0,19,1.2193674920152264
11,0,20,1.1967512481310048
11,0,21,1.1842561620105632
11,0,22,1.071531860834945
11,0,23,1.0101503374818663
11,1,0,1.0696281641507284
11,1,1,0.9845676463521358
11,1,2,0.9154753826881058
11,1,3,0.8686307480394535
11,1,4,0.8581563887909615
11,1,5,0.9059325206891834
11,1,6,1.0355651205848075
11,1,7,0.9893579025085837
11,1,8,1.1186933703641462
11,1,9,1.0362969135073543
11,1,10,0.8987503791916189
11,1,11,0.8329313110875068
11,1,12,0.5368233811774307
11,1,13,0.7179474008171796
11,1,14,0.8612630234292344
11,1,15,0.8908182536293081
11,1,16,1.1424744226259362
11,1,17,1.2137828200529912
11,1,18,1.2197984268532938
11,1,19,1.2093182308950061
11,1,20,1.1726487120541347
11,1,21,1.1896987088219826
11,1,22,1.0613782019732523
11,1,23,0.9323593399328804
11,2,0,1.0506072904963213
11,2,1,0.9636323730499241
11,2,2,0.8850728888541137
11,2,3,0.8912318144175974
11,2,4,0.8866090087478866
11,2,5,0.9016183782597501
11,2,6,1.0439553887786708
11,2,7,0.92102797501216
11,2,8,0.7855192695452118
11,2,9,0.5497045033352087
11,2,10,0.45205421710706417
11,2,11,0.4056324895374238
11,2,12,0.31210901883028896
11,2,13,0.44999970193772515
11,2,14,0.5318059671505682
11,2,15,0.6720838393409909
11,2,16,1.039809861131533
11,2,17,1.170753939359057
11,2,18,1.2186091091628393
11,2,19,1.2170484118688385
11,2,20,1.1779953914160486
11,2,21,1.1788761537485484
11,2,22,0.9799135666617266
11,2,23,0.8981847227144589
12,0,0,0.9956859589609661
12,0,1,0.9268871675450017
12,0,2,0.8297543679197219
12,0,3,0.8029024389466126
12,0,4,0.7945180033078851
12,0,5,0.828584771991877
12,0,6,0.988107611652051
12,0,7,1.0717750167638365
12,0,8,1.179186940160192
12,0,9,1.192260298177682
12,0,10,1.1161844512091585
12,0,11,1.0409506425144397
12,0,12,0.8041220049093536
12,0,13,0.9108175956540596
12,0,14,1.0286197427528532
12,0,15,1.1002245254673564
12,0,16,1.1880564762973236
12,0,17,1.1840054207392487
12,0,18,1.1740308968782927
12,0,19,1.1403908619942176
12,0,20,1.0988436098709133
12,0,21,1.1072112957549607
12,0,22,1.0011953986932847
12,0,23,0.949533858012258
12,1,0,0.9986676576908088
12,1,1,0.9248743739192645
12,1,2,0.8777978280490217
12,1,3,0.8236362993394205
12,1,4,0.8179271596497667
12,1,5,0.8405931010273242
12,1,6,0.9639728954706689
12,1,7,1.0221555562319247
12,1,8,1.1958361795417694
12,1,9,1.1312314464264306
12,1,10,1.016458572315014
12,1,11,0.9779450133793334
12,1,12,0.7428967720308319
12,1,13,0.8334454632032399
12,1,14,0.9495568469597153
12,1,15,0.9585306440956446
12,1,16,1.1225903794901262
12,1,17,1.1805008209914396
12,1,18,1.1768961768701187
12,1,19,1.1474714759534423
12,1,20,1.0900779644856853
12,1,21,1.1310165768718923
12,1,22,0.9889265835913779
12,1,23,0.8853741887864318
12,2,0,0.9781265287047747
12,2,1,0.8945361980858587
12,2,2,0.8257028083194321
12,2,3,0.8328942494050157
12,2,4,0.8208152494654909
12,2,5,0.8359478982571317
12,2,6,1.00345214490076
12,2,7,1.0109569215677137
12,2,8,0.9465749195683146
12,2,9,0.761171724038904
12,2,10,0.6982895127934964
12,2,11,0.6459606157127916
12,2,12,0.566874714722342
12,2,13,0.6983415394476593
12,2,14,0.732071290190202
12,2,15,0.8265283667981855
12,2,16,1.1027646423963229
12,2,17,1.1606078462955693
12,2,18,1.170291486486544
12,2,19,1.1497034843858795
12,2,20,1.0868485277163091
12,2,21,1.1053639455970663
12,2,22,0.9033080441659376
12,2,23,0.8348535666097247
